Base,"Schools should not sell junk food on campus, but ... ",,arg0 (actor),verb1,arg1 (Object),arg2,verb2,arg0,arg1,arg2,verb3,arg0,arg1,arg2,Primary Verb,arg0 (agent),arg1 (patient) ,arg2 (beneficiary),verb5,arg0,arg1,arg2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should offer healthy food choices in vending machines,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,offer (should),Schools,healthy food choices,-,vending,-,machines,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should offer healthy food instead .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,offer (should),Schools,healthy food,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should offer healthy sweet alternatives such as fruit or spreads .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,offer (should),Schools,healthy sweet alternatives such as fruit or spreads,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should offer many options for students which would be a healthier alternative .,modal modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,offer (should),Schools,many options for students which would be a healthier alternative,-,be (would),-,many options,a healthier alternative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should offer other alternatives .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,offer (should),Schools,other alternatives,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should offer reasonable alternative to the type of snacks that you would expect to find at a school .,modal modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,offer (should),Schools,reasonable alternative to the type of snacks that you would expect to find at a school,-,expect (would),you,to find at a school,-,find,you,the type of snacks,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should offer students healthier options in their vending machines .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,offer (should),Schools,healthier options,-,vending,machines,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should not penalize students who bring their own .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,penalize (should),they,students who bring their own,-,bring,students,their own,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ","but they can not preach about it , just do what they can by not allowing the vending machines in their schools",modal auxiliary modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,preach (can),they,about it,-,allowing (can),-,the vending machines in their schools,-,vending,machines,-,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but many kids prefer junk food,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,prefer,many kids,junk food,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but can not prevent children from getting junk food elsewhere .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,prevent (can),Schools,children,from getting junk food elsewhere,getting,children,junk food,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should not prevent it being brought from home .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,prevent (should),they,it being brought from home,-,being,-,-,-,brought,-,it,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should not prohibit it if students bring it on their own .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,prohibit (should),they,it,-,bring,students,it,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but promote healthier alternatives .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,promote,Schools,healthier alternatives,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but promote healthy habits,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,promote,Schools,healthy habits,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should instead promote healthy eating by filling snack machines with nutritious foods,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,promote (should),Schools,healthy eating,-,filling,Schools,snack machines,with nutritious foods,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should instead promote healthy eating options,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,promote (should),Schools,healthy eating options,-,eating,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but we can not protect our kids from everything bad for them out there .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,protect (can),we,our kids,from everything bad for them out there,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but provide a healthy alternative to sugary snack foods .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,provide,Schools,a healthy alternative to sugary snack foods,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but provide alternative healthy snacks .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,provide,Schools,alternative healthy snacks,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but provide alternatives to junk food that are just as tasty .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,provide,Schools,alternatives to junk food that are just as tasty,-,are,-,junk food,just as tasty,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but provide healthy alternatives instead .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,provide,Schools,healthy alternatives,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but provide healthy options .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,provide,Schools,healthy options,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but provide healthy snack foods instead .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,provide,Schools,healthy snack foods,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but provide healthy snacks instead .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,provide,Schools,healthy snacks,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but provide public health education of its dangers,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,provide,Schools,public health education of its dangers,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they could provide healthier versions which would provide additional funding for the schools .,modal modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,provide (could),they,healthier versions which would provide additional funding for the schools,-,provide (would),healthier versions,additional funding,for the schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but it does provide the school system with extra revenue .,auxiliary,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,provide (does),it,with extra revenue,the school system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they need to provide healthy alternatives so that students still have a wide freedom of choice for their potential food options .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,provide (need),they,healthy alternatives,-,have,students,a wide freedom of choice for their potential food options,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ","but they should provide a healthier alternative ,",modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,provide (should),they,a healthier alternative,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should provide a variety of healthy foods to students .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,provide (should),they,a variety of healthy foods,to students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should provide a variety of healthy options .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,provide (should),they,a variety of healthy options,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should provide alternative food that is kids friendly and nutritious .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,provide (should),they,alternative food that is kids friendly and nutritious,-,is,-,alternative food,kids friendly and nutritious,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should provide healthy and good - tasting alternatives so students do not feel deprived at school .,modal auxiliary,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,provide (should),they,healthy and good - tasting alternatives,-,feel (do),students,deprived,-,deprived,-,students,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should provide healthy options,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,provide (should),they,healthy options,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should provide healthy options .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,provide (should),they,healthy options,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should provide healthy snacks for students to choose .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,provide (should),they,healthy snacks for students to choose,-,choose,students,healthy snacks,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should provide more healthy alternatives to such food .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,provide (should),they,more healthy alternatives to such food,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but instead should provide healthier food alternatives .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,provide (should),Schools,healthier food alternatives,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should instead provide healthy alternatives .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,provide (should),Schools,healthy alternatives,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should provide a wider range of healthier options,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,provide (should),Schools,a wider range of healthier options,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should provide access to healthy snacks .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,provide (should),Schools,access to healthy snacks,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should provide health alternatives .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,provide (should),Schools,health alternatives,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should provide healthier choices .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,provide (should),Schools,healthier choices,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should provide healthier snacks for students to have .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,provide (should),Schools,healthier snacks for students to have,-,have,students,healthier snacks,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should provide healthy options for snacks .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,provide (should),Schools,healthy options for snacks,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should provide healthy snacks instead to raise revenue .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,provide (should),Schools,healthy snacks,-,raise,Schools,revenue,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ","but should provide healthy , nutritious food instead .",modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,provide (should),Schools,"healthy , nutritious food",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should provide other nutritious food for students .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,provide (should),Schools,other nutritious food for students,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should provide some option of snack for them .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,provide (should),Schools,some option of snack for them,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but parents should also provide education and rules at home around food choices,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,provide (should),parents,education and rules,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should provided healthy alternatives .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,provided (should),Schools,healthy alternatives,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ","but also not punish students for possessing junk food , since it is readily available and does not constitute an inherent threat that would warrant harsh punishment .",auxiliary modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,punish,Schools,students,for possessing junk food,possessing,-,junk food,-,is,-,it,readily available,constitute (does),it,an inherent threat that would warrant harsh punishment,-,warrant (would),an inherent threat,harsh punishment,-,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they raise money for the school .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,raise,they,money for the school,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but selling snacks does raise money for the school .,auxiliary,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,raise (does),selling snacks,money,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but it does raise money for schools .,auxiliary,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,raise (does),it,money for schools,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but so that children receive a better health message and have better food options .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,receive,children,a better health message,-,have,children,better food options,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but replace it junk food with healthier options,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,replace,Schools,it junk food,with healthier options,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but replace them with healthy and nutritious options .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,replace,Schools,them,with healthy and nutritious options,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they can replace the junk food with some nutritious foods .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,replace (can),they,the junk food,with some nutritious foods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they can replace them with healthy snacks instead .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,replace (can),they,them,with healthy snacks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should instead replace it with healthy alternatives .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,replace (should),Schools,it,with healthy alternatives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should instead replace junk food with healthier food options such as fruit and cut up veggie snacks .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,replace (should),Schools,junk food,with healthier food options such as fruit,cut,Schools,veggie snacks,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should replace junk food with more nutritious snack options .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,replace (should),Schools,junk food,with more nutritious snack options,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they can replaced the junk foods by selling some nutritional foods .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,replaced (can),they,the junk foods,by selling some nutritional foods,selling,they,some nutritional foods,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should respect students ' right of free choice .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,respect (should),Schools,students ' right of free choice,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ","but at the end of the day , it 's the students choice .",,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,s,-,it,the students choice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but it 's almost impossible to forget the profits the schools make when selling these products .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,s,-,to forget the profits the schools make when selling these products,almost impossible,forget,-,the profits the schools make when selling these products,-,make,the schools,the profits,-,selling,the schools,these products,-,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but it 's an individual choice,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,s,-,it,an individual choice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but it 's the child 's choice,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,s,-,it,the child 's choice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but it 's understandable that they are currently providing food that is in high demand ( i.e. junk food and snacks ) .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,s,-,that they are currently providing food that is in high demand ( i.e. junk food and snacks ),understandable,are,-,-,-,providing,they,food that is in high demand ( i.e. junk food and snacks ),-,is,-,food,in high demand,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but it 's up to the individual campuses to decide .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,s,-,to decide,up to the individual campuses,decide,the individual campuses,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but it 's worth noting that many students will still have easy access to it off campus .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,s,-,noting that many students will still have easy access to it off campus,worth,noting,-,that many students will still have easy access to it off campus,-,have (will),many students,easy access to it,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but some say students should be able to make their own choices of what to eat,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,say,some,students should be able to make their own choices of what to eat,-,be (should),-,students,able to make their own choices of what to eat,make,students,their own choices of what to eat,-,eat,-,what,-,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but I can see how the schools want to give the kids a choice .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,see (can),I,how the schools want to give the kids a choice,-,want,the schools,to give the kids a choice,-,give,the schools,a choice,the kids,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but I can see the financial issues that may arise from not selling popular snacks in vending machines .,modal modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,see (can),I,the financial issues that may arise from not selling popular snacks in vending machines,-,arise (may),-,the financial issues,from not selling popular snacks in vending machines,selling,-,popular snacks in vending machines,-,vending,-,machines,-,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but many schools do it because they do not see it as their job to change the diet of their students .,auxiliary auxiliary,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,see (do),they,it as their job to change the diet of their students,-,change,-,the diet of their students,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but if they sell healthy food more students will concentrate better .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,sell,they,healthy food,-,concentrate (will),more students,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they sell an good items,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,sell,they,an good items,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but instead sell fruit as a substitute .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,sell,Schools,fruit,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but sell nutritious foods .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,sell,Schools,nutritious foods,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they can sell healthy snacks,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,sell (can),they,healthy snacks,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they can sell more nutritious foods,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,sell (can),they,more nutritious foods,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but Can sell healthier options,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,sell (can),Schools,healthier options,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they could sell a variety of healthy snacks .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,sell (could),they,a variety of healthy snacks,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they could sell healthy options elsewhere .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,sell (could),they,healthy options,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they could sell healthy snacks .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,sell (could),they,healthy snacks,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they could sell healthy snacks .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,sell (could),they,healthy snacks,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they could sell similar good tasting healthier options .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,sell (could),they,similar good tasting healthier options,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they could still sell healthy snacks .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,sell (could),they,healthy snacks,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should sell healthier snacks .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,sell (should),they,healthier snacks,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should sell healthy food options .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,sell (should),they,healthy food options,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should sell healthy options,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,sell (should),they,healthy options,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should sell more nutritious snacks .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,sell (should),they,more nutritious snacks,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should instead sell healthy foods .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,sell (should),Schools,healthy foods,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should sell healthy alternatives,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,sell (should),Schools,healthy alternatives,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should sell more nutritional options of food .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,sell (should),Schools,more nutritional options of food,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should sell more nutritious foods because they have great nutritional value .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,sell (should),Schools,more nutritious foods,-,have,they,great nutritional value,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but selling junk food makes money for the school and people argue that kids should be given choice regarding what they eat .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,selling,-,junk food,-,makes,selling junk food,money,for the school,argue,people,that kids should be given choice regarding what they eat,-,be (should),-,-,-,given,-,choice regarding what they eat,kids,regarding,choice,what they eat,-,eat,they,what,-,,,,,,,,
"Schools should not sell junk food on campus, ",but selling junk foods generates money for the school .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,selling,-,junk foods,-,generates,selling junk foods,money,for the school,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but parents can send junk food to school with their own child .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,send (can),parents,junk food,to school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should also serve more healthy and nutritious lunches to students as well .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,serve (should),they,more healthy and nutritious lunches,to students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
